season_end,player,age,gp,toi,teams
2014,Sidney Crosby,26.0,80.0,29:17:47,PIT
2014,Ryan Getzlaf,28.0,77.0,27:18:58,ANA
2014,Claude Giroux,26.0,82.0,27:55:38,PHI
2014,Tyler Seguin,22.0,80.0,25:47:49,DAL
2014,Corey Perry,28.0,81.0,26:17:59,ANA
2014,Taylor Hall,22.0,75.0,25:01:02,EDM
2014,Phil Kessel,26.0,82.0,28:14:37,TOR
2014,Nicklas Bäckström,26.0,82.0,27:03:46,WSH
2014,Jamie Benn,24.0,81.0,25:51:20,DAL
2014,Alex Ovechkin,28.0,78.0,26:42:32,WSH
2014,Joe Pavelski,29.0,82.0,27:07:43,SJS
2014,Patrick Sharp,32.0,82.0,25:48:42,CHI
2014,Joe Thornton,34.0,82.0,25:52:21,SJS
2014,Erik Karlsson,23.0,82.0,36:59:53,OTT
2014,Evgeni Malkin,27.0,60.0,20:03:45,PIT
2014,Matt Duchene,23.0,71.0,21:53:16,COL
2014,Anže Kopitar,26.0,82.0,28:32:45,LAK
2014,Patrick Marleau,34.0,82.0,28:02:48,SJS
2014,Patrick Kane,25.0,69.0,22:33:06,CHI
2014,David Krejčí,27.0,80.0,25:29:40,BOS
2014,Kyle Okposo,25.0,71.0,24:10:46,NYI
2014,Blake Wheeler,27.0,82.0,25:32:28,WPG
2014,Martin St. Louis,38.0,81.0,28:16:11,2TM
2014,Martin St. Louis,38.0,62.0,22:24:49,TBL
2014,Martin St. Louis,38.0,19.0,05:51:22,NYR
2014,Chris Kunitz,34.0,78.0,24:54:16,PIT
2014,Jonathan Toews,25.0,76.0,25:55:28,CHI
2014,Thomas Vanek,30.0,78.0,25:09:23,3TM
2014,Thomas Vanek,30.0,13.0,04:01:56,BUF
2014,Thomas Vanek,30.0,47.0,15:40:09,NYI
2014,Thomas Vanek,30.0,18.0,05:27:18,MTL
2014,Jaromír Jágr,41.0,82.0,26:10:59,NJD
2014,Jason Spezza,30.0,75.0,22:45:47,OTT
2014,John Tavares,23.0,59.0,20:53:16,NYI
2014,Jordan Eberle,23.0,80.0,26:03:47,EDM
2014,Gabriel Landeskog,21.0,81.0,25:12:49,COL
2014,Bryan Little,26.0,82.0,27:20:18,WPG
2014,Ryan O'Reilly,22.0,80.0,26:25:38,COL
2014,Ryan Johansen,21.0,82.0,24:07:01,CBJ
2014,Nathan MacKinnon,18.0,82.0,23:42:13,COL
2014,Patrice Bergeron,28.0,80.0,23:59:18,BOS
2014,Alexander Steen,29.0,68.0,22:59:08,STL
2014,Jakub Voráček,24.0,82.0,23:34:55,PHI
2014,Jarome Iginla,36.0,78.0,23:40:50,BOS
2014,Duncan Keith,30.0,79.0,32:27:20,CHI
2014,James Neal,26.0,59.0,18:08:30,PIT
2014,Eric Staal,29.0,79.0,26:42:42,CAR
2014,James van Riemsdyk,24.0,80.0,28:04:30,TOR
2014,Marián Hossa,35.0,72.0,21:55:37,CHI
2014,T.J. Oshie,27.0,79.0,24:59:45,STL
2014,Max Pacioretty,25.0,73.0,22:29:52,MTL
2014,Jason Pominville,31.0,82.0,25:24:23,MIN
2014,Wayne Simmonds,25.0,82.0,22:55:10,PHI
2014,Paul Stastny,28.0,71.0,21:45:51,COL
2014,Milan Lucic,25.0,80.0,23:10:03,BOS
2014,Ondřej Palát,22.0,81.0,24:20:48,TBL
2014,Mats Zuccarello,26.0,77.0,21:59:45,NYR
2014,Valtteri Filppula,29.0,75.0,24:58:30,TBL
2014,Frans Nielsen,29.0,80.0,24:27:00,NYI
2014,Kyle Turris,24.0,82.0,25:35:47,OTT
2014,David Backes,29.0,74.0,24:06:33,STL
2014,Jussi Jokinen,30.0,81.0,21:11:46,PIT
2014,David Perron,25.0,78.0,24:51:48,EDM
2014,Derek Stepan,23.0,82.0,24:40:37,NYR
2014,Dustin Byfuglien,28.0,78.0,30:00:42,WPG
2014,Ryan Nugent-Hopkins,20.0,80.0,27:11:30,EDM
2014,Zach Parise,29.0,67.0,22:48:33,MIN
2014,Jaden Schwartz,21.0,80.0,23:22:14,STL
2014,Shea Weber,28.0,79.0,35:25:22,NSH
2014,Victor Hedman,23.0,75.0,28:02:49,TBL
2014,Clarke MacArthur,28.0,79.0,23:13:03,OTT
2014,Logan Couture,24.0,65.0,20:30:55,SJS
2014,Jiří Hudler,30.0,75.0,23:33:22,CGY
2014,Mikko Koivu,30.0,65.0,22:40:41,MIN
2014,Andrew Ladd,28.0,78.0,25:38:37,WPG
2014,Jeff Skinner,21.0,71.0,20:20:46,CAR
2014,Patrik Eliáš,37.0,65.0,19:22:10,NJD
2014,Patric Hörnqvist,27.0,76.0,21:21:15,NSH
2014,Brad Marchand,25.0,82.0,21:47:44,BOS
2014,P.K. Subban,24.0,82.0,33:38:32,MTL
2014,Keith Yandle,27.0,82.0,32:59:59,PHX
2014,David Desharnais,27.0,79.0,22:38:53,MTL
2014,Scott Hartnell,31.0,78.0,21:56:43,PHI
2014,Craig Smith,24.0,79.0,21:35:33,NSH
2014,Mikkel Bødker,24.0,82.0,23:48:05,PHX
2014,Alex Pietrangelo,24.0,81.0,34:14:05,STL
2014,Brad Richards,33.0,82.0,25:31:05,NYR
2014,Reilly Smith,22.0,82.0,20:05:55,BOS
2014,Radim Vrbata,32.0,80.0,23:56:33,PHX
2014,James Wisniewski,29.0,75.0,28:16:38,CBJ
2014,David Legwand,33.0,83.0,23:29:07,2TM
2014,David Legwand,33.0,62.0,17:47:25,NSH
2014,David Legwand,33.0,21.0,05:41:42,DET
2014,Matt Moulson,30.0,75.0,22:27:43,3TM
2014,Matt Moulson,30.0,11.0,03:14:11,NYI
2014,Matt Moulson,30.0,44.0,13:44:26,BUF
2014,Matt Moulson,30.0,20.0,05:29:06,MIN
2014,Jeff Carter,29.0,72.0,22:44:31,LAK
2014,Brandon Dubinsky,27.0,76.0,23:46:57,CBJ
2014,Tyler Johnson,23.0,82.0,25:40:20,TBL
2014,Nazem Kadri,23.0,78.0,22:36:27,TOR
2014,Henrik Sedin,33.0,70.0,24:07:04,VAN
2014,Daniel Alfredsson,41.0,68.0,19:11:04,DET
2014,Nick Bonino,25.0,77.0,20:49:41,ANA
2014,Tyler Bozak,27.0,58.0,20:14:56,TOR
2014,Mike Fisher,33.0,75.0,24:41:51,NSH
2014,Niklas Kronwall,33.0,79.0,32:00:43,DET
2014,Joel Ward,33.0,82.0,21:57:50,WSH
2014,Brent Burns,28.0,69.0,19:20:08,SJS
2014,Gustav Nyquist,24.0,57.0,16:00:36,DET
2014,Bobby Ryan,26.0,70.0,19:40:50,OTT
2014,Carl Söderberg,28.0,73.0,17:20:53,BOS
2014,Travis Zajac,28.0,80.0,27:04:52,NJD
2014,Henrik Zetterberg,33.0,45.0,15:24:53,DET
2014,Shane Doan,37.0,69.0,21:46:56,PHX
2014,Mark Giordano,30.0,64.0,26:54:58,CGY
2014,Mike Ribeiro,33.0,80.0,23:59:31,PHX
2014,Brandon Saad,21.0,78.0,21:10:39,CHI
2014,Daniel Sedin,33.0,73.0,25:04:12,VAN
2014,Matt Niskanen,27.0,81.0,28:44:48,PIT
2014,Derick Brassard,26.0,81.0,21:19:32,NYR
2014,Mike Cammalleri,31.0,63.0,20:50:14,CGY
2014,Mason Raymond,28.0,82.0,23:41:24,TOR
2014,Kevin Shattenkirk,25.0,81.0,27:46:04,STL
2014,Antoine Vermette,31.0,82.0,26:15:21,PHX
2014,Oliver Ekman-Larsson,22.0,80.0,34:31:37,PHX
2014,Cody Hodgson,23.0,72.0,21:46:17,BUF
2014,Marcus Johansson,23.0,80.0,23:23:04,WSH
2014,Joffrey Lupul,30.0,69.0,21:14:02,TOR
2014,Andrej Sekera,27.0,74.0,29:12:12,CAR
2014,Mark Streit,36.0,82.0,28:12:44,PHI
2014,Troy Brouwer,28.0,82.0,25:45:39,WSH
2014,Tyler Ennis,24.0,80.0,25:08:10,BUF
2014,Adam Henrique,23.0,77.0,23:10:11,NJD
2014,Olli Jokinen,35.0,82.0,23:15:55,WPG
2014,Ryan Kesler,29.0,77.0,27:59:47,VAN
2014,Andrei Markov,35.0,81.0,34:04:20,MTL
2014,Ryan McDonagh,24.0,77.0,31:50:53,NYR
2014,Mathieu Perreault,26.0,69.0,15:56:52,ANA
2014,Tomáš Plekanec,31.0,81.0,26:41:47,MTL
2014,Ryan Suter,29.0,82.0,40:11:54,MIN
2014,Vladimir Tarasenko,22.0,64.0,16:11:06,STL
2014,Justin Williams,32.0,82.0,23:10:15,LAK
2014,Aleš Hemský,30.0,75.0,19:56:53,2TM
2014,Aleš Hemský,30.0,55.0,14:44:18,EDM
2014,Aleš Hemský,30.0,20.0,05:12:35,OTT
2014,Jason Chimera,34.0,82.0,21:04:25,WSH
2014,Andrew Cogliano,26.0,82.0,21:02:14,ANA
2014,Michael Frolík,25.0,81.0,22:30:31,WPG
2014,Alex Goligoski,28.0,81.0,32:49:23,DAL
2014,Teddy Purcell,28.0,81.0,22:13:47,TBL
2014,Alexander Semin,29.0,65.0,21:34:08,CAR
2014,Marek Židlický,36.0,81.0,29:13:38,NJD
2014,Johan Franzén,34.0,54.0,15:53:31,DET
2014,Brendan Gallagher,21.0,81.0,21:33:07,MTL
2014,Mikael Granlund,21.0,63.0,18:11:28,MIN
2014,Evander Kane,22.0,63.0,21:18:13,WPG
2014,Alex Killorn,24.0,82.0,22:55:52,TBL
2014,Mike Richards,28.0,82.0,23:12:10,LAK
2014,Brayden Schenn,22.0,82.0,21:31:21,PHI
2014,Brent Seabrook,28.0,82.0,30:25:40,CHI
2014,Cam Atkinson,24.0,79.0,20:47:20,CBJ
2014,Zdeno Chára,36.0,77.0,31:38:19,BOS
2014,Brian Gionta,35.0,81.0,24:05:31,MTL
2014,Martin Hanzal,26.0,65.0,20:14:19,PHX
2014,Roman Josi,23.0,72.0,31:42:06,NSH
2014,Torey Krug,22.0,79.0,23:03:17,BOS
2014,Matt Read,27.0,75.0,23:29:52,PHI
2014,Jordan Staal,25.0,82.0,25:53:53,CAR
2014,Steven Stamkos,23.0,37.0,12:29:13,TBL
2014,Artem Anisimov,25.0,81.0,22:24:18,CBJ
2014,Mikael Backlund,24.0,76.0,23:28:41,CGY
2014,Sean Couturier,21.0,82.0,26:05:07,PHI
2014,Matt Cullen,37.0,77.0,19:53:11,NSH
2014,Nick Foligno,26.0,70.0,18:44:05,CBJ
2014,Chris Higgins,30.0,78.0,24:55:38,VAN
2014,Erik Johnson,25.0,80.0,30:40:33,COL
2014,Milan Michálek,29.0,82.0,24:02:11,OTT
2014,Rick Nash,29.0,65.0,18:26:09,NYR
2014,Andrew Shaw,22.0,80.0,20:55:14,CHI
2014,Tomáš Tatar,23.0,73.0,17:27:36,DET
2014,Josh Bailey,24.0,77.0,20:19:47,NYI
2014,Tyson Barrie,22.0,64.0,19:46:41,COL
2014,Nick Bjugstad,21.0,76.0,20:32:39,FLA
2014,Mike Green,28.0,70.0,26:31:05,WSH
2014,Jamie McGinn,25.0,79.0,20:46:31,COL
2014,Tommy Wingels,25.0,77.0,20:40:37,SJS
2014,Jay Bouwmeester,30.0,82.0,32:51:59,STL
2014,Brian Campbell,34.0,82.0,36:50:32,FLA
2014,John Carlson,24.0,82.0,33:30:08,WSH
2014,Pavel Datsyuk,35.0,45.0,15:12:02,DET
2014,Drew Doughty,24.0,78.0,33:25:35,LAK
2014,Loui Eriksson,28.0,61.0,16:48:14,BOS
2014,Sam Gagner,24.0,67.0,20:31:14,EDM
2014,Chris Kreider,22.0,66.0,17:18:06,NYR
2014,Vincent Lecavalier,33.0,69.0,17:28:10,PHI
2014,Derek Roy,30.0,75.0,17:01:31,STL
2014,Scottie Upshall,30.0,76.0,20:10:04,FLA
2014,Brad Boyes,31.0,78.0,22:09:26,FLA
2014,Dan Boyle,37.0,75.0,26:36:12,SJS
2014,Cam Fowler,22.0,70.0,27:50:24,ANA
2014,Nino Niederreiter,21.0,81.0,19:01:41,MIN
2014,Benoît Pouliot,27.0,80.0,17:55:13,NYR
2014,Kris Versteeg,27.0,81.0,19:31:29,2TM
2014,Kris Versteeg,27.0,18.0,04:42:42,FLA
2014,Kris Versteeg,27.0,63.0,14:48:47,CHI
2014,Ryan Callahan,28.0,65.0,20:12:09,2TM
2014,Ryan Callahan,28.0,45.0,13:27:41,NYR
2014,Ryan Callahan,28.0,20.0,06:44:28,TBL
2014,Alex Chiasson,23.0,79.0,19:54:01,DAL
2014,Cody Eakin,22.0,81.0,23:23:51,DAL
2014,Mikhail Grabovski,30.0,58.0,15:13:37,WSH
2014,Kimmo Timonen,38.0,77.0,26:05:23,PHI
2014,Dustin Penner,31.0,67.0,16:09:24,2TM
2014,Dustin Penner,31.0,49.0,12:27:58,ANA
2014,Dustin Penner,31.0,18.0,03:41:26,WSH
2014,Jason Demers,25.0,75.0,24:21:33,SJS
2014,Mark Letestu,28.0,82.0,20:04:36,CBJ
2014,Sean Monahan,19.0,75.0,19:58:21,CGY
2014,Valeri Nichushkin,18.0,79.0,19:42:35,DAL
2014,Michael Ryder,33.0,82.0,21:34:09,NJD
2014,Mark Scheifele,20.0,63.0,17:10:34,WPG
2014,Drew Stafford,28.0,70.0,21:44:54,BUF
2014,R.J. Umberger,31.0,74.0,19:56:58,CBJ
2014,Slava Voynov,24.0,82.0,30:28:30,LAK
2014,Lee Stempniak,30.0,73.0,22:27:50,2TM
2014,Lee Stempniak,30.0,52.0,16:49:09,CGY
2014,Lee Stempniak,30.0,21.0,05:38:41,PIT
2014,Christian Ehrhoff,31.0,79.0,31:29:03,BUF
2014,Cody Franson,26.0,79.0,27:15:03,TOR
2014,Jason Garrison,29.0,81.0,28:12:38,VAN
2014,Carl Hagelin,25.0,72.0,18:37:11,NYR
2014,Jack Johnson,27.0,82.0,33:43:43,CBJ
2014,P.A. Parenteau,30.0,55.0,15:32:16,COL
2014,Justin Schultz,23.0,74.0,28:47:39,EDM
2014,Vladimír Sobotka,26.0,61.0,17:01:18,STL
2014,Matt Stajan,30.0,63.0,19:17:35,CGY
2014,Colin Wilson,24.0,81.0,20:32:30,NSH
2014,Mika Zibanejad,20.0,69.0,16:28:43,OTT
2014,Patrik Berglund,25.0,78.0,21:01:25,STL
2014,Justin Faulk,21.0,76.0,29:39:17,CAR
2014,Ryan Garbutt,28.0,75.0,16:19:50,DAL
2014,Andy Greene,31.0,82.0,33:35:25,NJD
2014,John Mitchell,29.0,75.0,20:20:22,COL
2014,Nick Spaling,25.0,71.0,18:57:25,NSH
2014,Ray Whitney,41.0,69.0,16:03:28,DAL
2014,T.J. Brodie,23.0,81.0,32:29:06,CGY
2014,Matt Carle,29.0,82.0,30:19:19,TBL
2014,Eric Fehr,28.0,73.0,17:56:41,WSH
2014,Alex Galchenyuk,19.0,65.0,15:35:41,MTL
2014,Jake Gardiner,23.0,80.0,28:06:07,TOR
2014,Nathan Gerbe,26.0,81.0,22:08:30,CAR
2014,Nick Leddy,22.0,82.0,22:22:22,CHI
2014,Kyle Palmieri,22.0,71.0,14:07:54,ANA
2014,Dion Phaneuf,28.0,80.0,31:25:08,TOR
2014,Charlie Coyle,21.0,70.0,19:56:23,MIN
2014,Toby Enström,29.0,82.0,32:39:40,WPG
2014,Dwight King,24.0,77.0,19:18:16,LAK
2014,Hampus Lindholm,20.0,78.0,25:15:40,ANA
2014,Rich Peverley,31.0,62.0,15:53:55,DAL
2014,Jiří Tlustý,25.0,68.0,17:11:30,CAR
2014,Daniel Winnik,28.0,76.0,19:29:35,ANA
2014,Marián Gáborík,31.0,41.0,11:37:20,2TM
2014,Marián Gáborík,31.0,22.0,06:01:04,CBJ
2014,Marián Gáborík,31.0,19.0,05:36:16,LAK
2014,Sean Bergenheim,29.0,62.0,17:03:21,FLA
2014,Erik Cole,35.0,75.0,18:57:04,DAL
2014,Éric Gélinas,22.0,60.0,16:55:26,NJD
2014,Boone Jenner,20.0,72.0,16:53:43,CBJ
2014,Zack Kassian,23.0,73.0,15:43:49,VAN
2014,Saku Koivu,39.0,65.0,16:18:09,ANA
2014,Olli Määttä,19.0,78.0,24:02:54,PIT
2014,Pat Maroon,25.0,62.0,12:43:24,ANA
2014,Antoine Roussel,24.0,81.0,17:59:59,DAL
2014,Kris Russell,26.0,68.0,26:13:09,CGY
2014,Tyler Toffoli,21.0,62.0,13:22:09,LAK
2014,Jacob Trouba,19.0,65.0,24:18:22,WPG
2014,Martin Erat,32.0,70.0,17:07:05,2TM
2014,Martin Erat,32.0,53.0,13:01:01,WSH
2014,Martin Erat,32.0,17.0,04:06:04,PHX
2014,Justin Abdelkader,26.0,70.0,17:49:52,DET
2014,André Benoit,30.0,79.0,26:36:45,COL
2014,Joe Colborne,24.0,80.0,19:01:20,CGY
2014,Matt Cooke,35.0,82.0,21:03:16,MIN
2014,Tomáš Fleischmann,29.0,80.0,22:49:39,FLA
2014,Tom Gilbert,31.0,73.0,25:57:54,FLA
2014,Dany Heatley,33.0,76.0,18:46:13,MIN
2014,Jonathan Huberdeau,20.0,69.0,18:00:53,FLA
2014,Marcus Krüger,23.0,81.0,18:43:50,CHI
2014,Mike Santorelli,28.0,49.0,15:09:40,VAN
2014,Andrew MacDonald,27.0,82.0,33:39:30,2TM
