season_end,player,age,gp,toi,teams
2016,Patrick Kane,27.0,82.0,27:53:39,CHI
2016,Jamie Benn,26.0,82.0,27:21:48,DAL
2016,Sidney Crosby,28.0,80.0,27:17:33,PIT
2016,Erik Karlsson,25.0,82.0,39:35:19,OTT
2016,Joe Thornton,36.0,82.0,25:05:43,SJS
2016,Johnny Gaudreau,22.0,79.0,26:14:31,CGY
2016,Joe Pavelski,31.0,82.0,27:04:54,SJS
2016,Blake Wheeler,29.0,82.0,27:02:34,WPG
2016,Evgeny Kuznetsov,23.0,82.0,23:48:03,WSH
2016,Artemi Panarin,24.0,80.0,24:41:38,CHI
2016,Brent Burns,30.0,82.0,35:20:51,SJS
2016,Anže Kopitar,28.0,81.0,28:10:12,LAK
2016,Vladimir Tarasenko,24.0,80.0,24:51:01,STL
2016,Tyler Seguin,24.0,72.0,23:19:51,DAL
2016,Alex Ovechkin,30.0,79.0,26:44:22,WSH
2016,Nicklas Bäckström,28.0,75.0,23:58:38,WSH
2016,John Tavares,25.0,78.0,25:59:34,NYI
2016,Patrice Bergeron,30.0,80.0,26:26:47,BOS
2016,Claude Giroux,28.0,78.0,26:42:37,PHI
2016,Kris Letang,28.0,71.0,31:53:06,PIT
2016,Jaromír Jágr,43.0,79.0,22:28:56,FLA
2016,Nikita Kucherov,22.0,77.0,23:22:21,TBL
2016,Taylor Hall,24.0,82.0,26:14:45,EDM
2016,Filip Forsberg,21.0,82.0,26:02:19,NSH
2016,Kyle Okposo,27.0,79.0,23:58:15,NYI
2016,Max Pacioretty,27.0,82.0,25:19:14,MTL
2016,Steven Stamkos,25.0,77.0,25:21:06,TBL
2016,Loui Eriksson,30.0,82.0,26:37:30,BOS
2016,Ryan Getzlaf,30.0,77.0,25:01:57,ANA
2016,David Krejčí,29.0,72.0,24:21:40,BOS
2016,Sean Monahan,21.0,81.0,25:52:10,CGY
2016,Jason Spezza,32.0,75.0,20:39:00,DAL
2016,Jeff Carter,31.0,77.0,23:35:54,LAK
2016,Corey Perry,30.0,82.0,24:12:02,ANA
2016,Roman Josi,25.0,81.0,34:24:13,NSH
2016,Brad Marchand,27.0,77.0,23:52:13,BOS
2016,Mark Scheifele,22.0,71.0,21:56:58,WPG
2016,Daniel Sedin,35.0,82.0,25:03:22,VAN
2016,Mark Stone,23.0,75.0,25:07:55,OTT
2016,Mats Zuccarello,28.0,81.0,24:56:36,NYR
2016,Jussi Jokinen,32.0,81.0,24:41:36,FLA
2016,Ryan O'Reilly,24.0,71.0,25:43:11,BUF
2016,Wayne Simmonds,27.0,81.0,23:15:58,PHI
2016,Ryan Johansen,23.0,80.0,23:25:01,2TM
2016,Ryan Johansen,23.0,38.0,10:59:10,CBJ
2016,Ryan Johansen,23.0,42.0,12:25:51,NSH
2016,Aleksander Barkov,20.0,66.0,21:22:23,FLA
2016,Matt Duchene,25.0,76.0,23:32:53,COL
2016,Mike Hoffman,26.0,78.0,22:48:22,OTT
2016,Jonathan Huberdeau,22.0,76.0,22:58:55,FLA
2016,Phil Kessel,28.0,82.0,25:07:16,PIT
2016,Brayden Schenn,24.0,80.0,22:31:31,PHI
2016,Derick Brassard,28.0,80.0,23:50:49,NYR
2016,John Klingberg,23.0,76.0,28:44:18,DAL
2016,Evgeni Malkin,29.0,57.0,18:24:01,PIT
2016,James Neal,28.0,82.0,26:03:51,NSH
2016,Jonathan Toews,27.0,80.0,25:39:50,CHI
2016,Tyler Toffoli,23.0,82.0,23:39:39,LAK
2016,Kyle Palmieri,24.0,82.0,24:20:00,NJD
2016,Jack Eichel,19.0,81.0,25:48:51,BUF
2016,Alex Galchenyuk,21.0,82.0,22:13:16,MTL
2016,Mark Giordano,32.0,82.0,33:52:25,CGY
2016,Mikko Koivu,32.0,82.0,27:14:11,MIN
2016,Bobby Ryan,28.0,81.0,23:11:10,OTT
2016,Oliver Ekman-Larsson,24.0,75.0,30:57:43,ARI
2016,Milan Lucic,27.0,81.0,23:16:12,LAK
2016,Henrik Sedin,35.0,74.0,22:40:02,VAN
2016,Patrick Sharp,34.0,76.0,22:18:57,DAL
2016,Jakub Voráček,26.0,73.0,22:36:47,PHI
2016,Tomáš Plekanec,33.0,82.0,25:19:38,MTL
2016,Cam Atkinson,26.0,81.0,24:01:39,CBJ
2016,Dustin Byfuglien,30.0,81.0,34:01:27,WPG
2016,Ryan Kesler,31.0,79.0,25:43:00,ANA
2016,Gabriel Landeskog,23.0,75.0,23:39:26,COL
2016,Zach Parise,31.0,70.0,22:30:26,MIN
